Date,Description,Category,Amount,Account,Account #,Institution
12/28/2017,Big Star Montessori,Classes,($621.17),Family Checking,xxxx3244,Chase - Checking
12/27/2017,United Way,Charity,($300.00),Visa Rewards,xxxx5345,Chase - Credit Card
12/26/2017,Tiller (tillerhq.com),Subscriptions,($6.87),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
12/25/2017,PCC Natural Market - Issaquah WA,Groceries,($14.63),American Express,xxxx1005,American Express Cards
12/24/2017,Etsy,Freelance,$653.59 ,Family Checking,xxxx3244,Chase - Checking
12/23/2017,"Espresso Vivace Seattle, Seattle, WA",Eating Out,($6.18),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
12/23/2017,"The Essential Baking Co, Seattle, WA",Eating Out,($15.96),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
12/22/2017,"Shell Oil, Auto Fuel Dispenser",Auto and Gas,($25.17),American Express,xxxx1005,American Express Cards
12/22/2017,"Winthrop Mountain Sports Winthrop, WA",Stuff,($50.35),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
12/21/2017,"REI, Store 11, Seattle",Gear and Clothing,($488.96),Visa Rewards,xxxx5345,Chase - Credit Card
12/20/2017,"Toyota of Seattle, Seattle, WA",Auto and Gas,($260.37),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
12/19/2017,Amazon.com,Gear and Clothing,($16.49),Visa Rewards,xxxx3827,Chase - Credit Card
12/17/2017,Hank's Harvest Foodstwisp WA,Groceries,($27.18),American Express,xxxx1005,American Express Cards
12/16/2017,Khan Academy,Charity,($300.00),Family Checking,xxxx3244,Chase - Checking
12/15/2017,Roadpost Usa,Subscriptions,($34.22),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
12/14/2017,Chevron Service Stn,Auto and Gas,($25.75),American Express,xxxx1005,American Express Cards
12/13/2017,Texaco Service Stn,Auto and Gas,($44.81),American Express,xxxx1005,American Express Cards
12/13/2017,AT&T,Phone,($102.85),Visa Rewards,xxxx5345,Chase - Credit Card
12/12/2017,"Costco Gas, Burlington",Auto and Gas,($13.77),American Express,xxxx1005,American Express Cards
12/11/2017,"Zeitgeist Coffee, Seattle, WA",Eating Out,($10.26),Alaska Airlines Visa,xxxx1561,Bank of America - Credit Card
12/11/2017,Dropbox,Subscriptions,($9.71),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
12/10/2017,"Storyville Coffee, Seattle, WA",Eating Out,($11.73),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
12/10/2017,Chase Bank Mortgage,Mortgage,"($1,903.00)",Family Checking,xxxx3244,Chase - Checking
12/10/2017,Paycheck,Paycheck,"$5,544.00 ",Family Checking,xxxx3244,Chase - Checking
12/10/2017,Audible,Subscriptions,($15.12),Visa Rewards,xxxx3827,Chase - Credit Card
12/9/2017,North Valley Lumber,Home Improvements,($249.68),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
12/8/2017,Itunes.com,Subscriptions,($2.08),Visa Rewards,xxxx5345,Chase - Credit Card
12/7/2017,"Mazama Store, Mazama",Eating Out,($16.07),American Express,xxxx1005,American Express Cards
12/6/2017,"Trader Joe's #130, Seattle",Groceries,($68.52),American Express,xxxx1005,American Express Cards
12/6/2017,New York Times Digital,Subscriptions,($18.12),Visa Rewards,xxxx5345,Chase - Credit Card
12/5/2017,Centurylink,Phone,($24.42),Visa Rewards,xxxx5345,Chase - Credit Card
12/4/2017,Whole Foods - Seattle WA,Groceries,($107.76),American Express,xxxx1005,American Express Cards
12/3/2017,"Portage Bay Cafe and Cate, Seattle, WA",Eating Out,($60.21),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
12/3/2017,Union Garage,Parking,($25.41),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
12/2/2017,"Zoka Coffee Roa, Seattle, WA",Eating Out,($2.52),Alaska Airlines Visa,xxxx1561,Bank of America - Credit Card
12/2/2017,"Okanogan County Energy, Winthrop, WA",Utilities,($205.44),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
12/1/2017,"BP, Chesterfield, MO", Gas, (38.98), Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
